t,XxV,XyV,XzV,qx,qy,qz,qw,ZxW,ZyW,ZzW,ExB,EyB,EzB,eta,E1I,E2I
0.47172,-0.538523,1.85796,1.56222,0.0109736,-0.00544592,0.0371153,0.999236,-0.140758,1.74551,0,0.228033,-0.289862,-1.56222,-0.731329083145753,511.885,437.302
0.48313,-0.538523,1.85796,1.56222,0.0109736,-0.00544592,0.0371153,0.999236,-0.140758,1.74551,0,0.228033,-0.289862,-1.56222,-0.731329083145753,511.885,437.302
0.49725,-0.5426,1.85173,1.56239,0.00886088,-0.00323436,0.0348917,0.999347,-0.140759,1.74556,0,0.228058,-0.289893,-1.56239,-0.731343773478504,511.885,437.302
0.5041,-0.5426,1.85173,1.56239,0.00886088,-0.00323436,0.0348917,0.999347,-0.140759,1.74556,0,0.228058,-0.289893,-1.56239,-0.731343773478504,511.885,437.302
0.51244,-0.5426,1.85173,1.56239,0.00886088,-0.00323436,0.0348917,0.999347,-0.140759,1.74556,0,0.228058,-0.289893,-1.56239,-0.731343773478504,511.885,437.302
0.52358,-0.5426,1.85173,1.56239,0.00886088,-0.00323436,0.0348917,0.999347,-0.140759,1.74556,0,0.228058,-0.289893,-1.56239,-0.731343773478504,511.885,437.302
0.53395,-0.5426,1.85173,1.56239,0.00886088,-0.00323436,0.0348917,0.999347,-0.140759,1.74556,0,0.228058,-0.289893,-1.56239,-0.731343773478504,511.885,437.302
0.54965,-0.547324,1.8436,1.56378,0.00607867,0.00109155,0.0365885,0.999311,-0.140778,1.74555,0,0.228262,-0.290153,-1.56378,-0.731475608402403,511.885,437.302
0.55984,-0.547324,1.8436,1.56378,0.00607867,0.00109155,0.0365885,0.999311,-0.140778,1.74555,0,0.228262,-0.290153,-1.56378,-0.731475608402403,511.885,437.302
0.5705,-0.547324,1.8436,1.56378,0.00607867,0.00109155,0.0365885,0.999311,-0.140778,1.74555,0,0.228262,-0.290153,-1.56378,-0.731475608402403,511.885,437.302
0.58119,-0.551135,1.8324,1.56488,0.00367164,-0.00236019,0.0327333,0.999455,-0.14079,1.74552,0,0.228421,-0.290355,-1.56488,-0.731577117364045,511.885,437.302
0.59297,-0.551135,1.8324,1.56488,0.00367164,-0.00236019,0.0327333,0.999455,-0.140756,1.74551,0,0.228421,-0.290355,-1.56488,-0.731577117364045,511.885,437.302
0.60606,-0.551135,1.8324,1.56488,0.00367164,-0.00236019,0.0327333,0.999455,-0.140756,1.74551,0,0.228421,-0.290355,-1.56488,-0.731577117364045,511.885,437.302
0.62004,-0.551135,1.8324,1.56488,0.00367164,-0.00236019,0.0327333,0.999455,-0.140756,1.74551,0,0.228421,-0.290355,-1.56488,-0.731577117364045,511.885,437.302
0.63316,-0.551637,1.82937,1.56489,0.00864405,-0.0028315,0.0394002,0.999182,-0.140808,1.74552,0,0.228423,-0.290358,-1.56489,-0.731579179487317,511.885,437.302
0.64321,-0.551637,1.82937,1.56489,0.00864405,-0.0028315,0.0394002,0.999182,-0.140808,1.74552,0,0.228423,-0.290358,-1.56489,-0.731579179487317,511.885,437.302
0.65752,-0.551637,1.82937,1.56489,0.00864405,-0.0028315,0.0394002,0.999182,-0.140808,1.74552,0,0.228423,-0.290358,-1.56489,-0.731579179487317,511.885,437.302
0.67119,-0.551637,1.82937,1.56489,0.00864405,-0.0028315,0.0394002,0.999182,-0.140808,1.74552,0,0.228423,-0.290358,-1.56489,-0.731579179487317,511.885,437.302
0.68332,-0.554239,1.81818,1.56629,0.0030742,-0.000676576,0.0373973,0.999296,-0.140757,1.74552,0,0.228628,-0.290618,-1.56629,-0.731709125691939,511.885,437.302
0.70012,-0.554009,1.81237,1.56678,0.00250386,-0.00267995,0.0322152,0.999474,-0.140742,1.74552,0,0.304196,-0.304516,-1.56678,-0.651657617939418,561.545,446.382
0.71117,-0.554009,1.81237,1.56678,0.00250386,-0.00267995,0.0322152,0.999474,-0.140742,1.74552,0,0.304196,-0.304516,-1.56678,-0.651657617939418,561.545,446.382
0.72024,-0.554074,1.80927,1.56707,0.00332755,-0.00222016,0.0320382,0.999479,-0.140768,1.74549,0,0.304252,-0.304572,-1.56707,-0.651678647353897,561.545,446.382
0.72749,-0.554074,1.80927,1.56707,0.00332755,-0.00222016,0.0320382,0.999479,-0.140768,1.74549,0,0.304252,-0.304572,-1.56707,-0.651678647353897,561.545,446.382
0.73796,-0.554074,1.80927,1.56707,0.00332755,-0.00222016,0.0320382,0.999479,-0.140768,1.74549,0,0.304252,-0.304572,-1.56707,-0.651678647353897,561.545,446.382
0.74991,-0.554506,1.80262,1.5682,0.00571813,-0.00241107,0.0360102,0.999332,-0.140753,1.74551,0,0.30447,-0.30479,-1.5682,-0.651760449291102,561.545,446.382
0.76117,-0.554506,1.80262,1.5682,0.00571813,-0.00241107,0.0360102,0.999332,-0.140753,1.74551,0,0.30447,-0.30479,-1.5682,-0.651760449291102,561.545,446.382
0.77004,-0.554506,1.80262,1.5682,0.00571813,-0.00241107,0.0360102,0.999332,-0.140753,1.74551,0,0.30447,-0.30479,-1.5682,-0.651760449291102,561.545,446.382
0.78613,-0.554282,1.79115,1.56944,0.0088522,-0.00731355,0.0303381,0.999474,-0.140713,1.74551,0,0.304711,-0.305032,-1.56944,-0.651852347053428,561.545,446.382
0.7973,-0.554282,1.79115,1.56944,0.0088522,-0.00731355,0.0303381,0.999474,-0.140713,1.74551,0,0.304711,-0.305032,-1.56944,-0.651852347053428,561.545,446.382
0.80841,-0.554282,1.79115,1.56944,0.0088522,-0.00731355,0.0303381,0.999474,-0.140713,1.74551,0,0.304711,-0.305032,-1.56944,-0.651852347053428,561.545,446.382
0.82096,-0.554282,1.79115,1.56944,0.0088522,-0.00731355,0.0303381,0.999474,-0.140713,1.74551,0,0.304711,-0.305032,-1.56944,-0.651852347053428,561.545,446.382
0.83449,-0.553832,1.78438,1.57049,0.00572191,0.000287275,0.0320533,0.99947,-0.140786,1.7455,0,0.304916,-0.305237,-1.57049,-0.651929076014008,561.545,446.382
0.84452,-0.553832,1.78438,1.57049,0.00572191,0.000287275,0.0320533,0.99947,-0.140786,1.7455,0,0.304916,-0.305237,-1.57049,-0.651929076014008,561.545,446.382
0.85221,-0.553832,1.78438,1.57049,0.00572191,0.000287275,0.0320533,0.99947,-0.140786,1.7455,0,0.304916,-0.305237,-1.57049,-0.651929076014008,561.545,446.382
0.86576,-0.551933,1.77411,1.5717,-0.0026149,-0.00761428,0.0285152,0.999561,-0.140786,1.7455,0,0.305151,-0.305472,-1.5717,-0.652016925850057,561.545,446.382
0.88471,-0.551933,1.77411,1.5717,-0.0026149,-0.00761428,0.0285152,0.999561,-0.140763,1.7455,0,0.305151,-0.305472,-1.5717,-0.652016925850057,561.545,446.382
0.89835,-0.550913,1.76809,1.57224,-0.00450113,-0.00793956,0.0280888,0.999564,-0.140804,1.74547,0,0.305255,-0.305576,-1.57224,-0.652055767390472,561.545,446.382
0.90915,-0.550913,1.76809,1.57224,-0.00450113,-0.00793956,0.0280888,0.999564,-0.140804,1.74547,0,0.305255,-0.305576,-1.57224,-0.652055767390472,561.545,446.382
0.91842,-0.550913,1.76809,1.57224,-0.00450113,-0.00793956,0.0280888,0.999564,-0.140804,1.74547,0,0.305255,-0.305576,-1.57224,-0.652055767390472,561.545,446.382
0.92876,-0.550676,1.76347,1.57251,-0.0059208,-0.00826578,0.0293979,0.999516,-0.14077,1.74548,0,0.305308,-0.305629,-1.57251,-0.652075552988174,561.545,446.382
0.938,-0.550676,1.76347,1.57251,-0.0059208,-0.00826578,0.0293979,0.999516,-0.14077,1.74548,0,0.305308,-0.305629,-1.57251,-0.652075552988174,561.545,446.382
0.954,-0.550676,1.76347,1.57251,-0.0059208,-0.00826578,0.0293979,0.999516,-0.14077,1.74548,0,0.305308,-0.305629,-1.57251,-0.652075552988174,561.545,446.382
0.96596,-0.548431,1.75492,1.57341,-0.00388576,-0.00656724,0.0331749,0.99942,-0.140709,1.74551,0,0.305483,-0.305804,-1.57341,-0.652140841357881,561.545,446.382
0.98217,-0.547069,1.74656,1.5748,-0.00192205,-0.00623353,0.0332223,0.999427,-0.140688,1.74554,0,0.305752,-0.306073,-1.5748,-0.652241075051416,561.545,446.382
1.00034,-0.546045,1.74334,1.57503,-0.00535652,-0.00777886,0.0285019,0.999549,-0.140726,1.74552,0,0.305796,-0.306118,-1.57503,-0.652259031685549,561.545,446.382
1.00929,-0.546045,1.74334,1.57503,-0.00535652,-0.00777886,0.0285019,0.999549,-0.140726,1.74552,0,0.305796,-0.306118,-1.57503,-0.652259031685549,561.545,446.382
